TE	sense	antisense	total	RNAseq	div	copies	length
Lx6	1	40	41	0	24.686	70539	531.536
BLACKJACK	9	30	39	0	29.562	1357	306.534
B4A	12	26	38	2586.52	27.23	447633	128.118
LTR41B	0	38	38	0	30.373	497	229.755
MER34-int	4	34	38	0	28.98	193	233.58
Tigger6	0	38	38	0	28.143	134	276.567
Charlie1b	0	36	36	0	27.563	2141	195.944
LTR33B	33	0	33	0	32.974	589	211.553
L1MC	0	29	29	0	26.103	9038	258.361
L1MEg	0	29	29	0	28.071	3648	265.71
L1MD	0	28	28	0	26.492	8957	290.648
Kanga1	0	25	25	0	29.605	526	225.829
Kanga1c	0	25	25	0	29.153	438	208.071
L1MC3	14	9	23	0	27.377	9031	303.69
Tigger20a	0	23	23	0	31.636	468	224.468
HAL1M8	5	16	21	0	27.855	1268	212.196
Tigger12	20	0	20	0	30.933	363	184.174
Tigger12A	20	0	20	0	31.677	264	163.072
Charlie8	5	14	19	65.48	31.553	1562	204.67
L1MD3	0	18	18	0	27.071	3874	225.488
LTR73	0	17	17	0	31.575	338	250.178
L1MC4	0	16	16	0	27.588	9868	221.46
L1M4c	13	2	15	0	26.445	3191	337.983
LTR16B	0	14	14	0	32.546	491	245.193
Charlie7	1	12	13	0	29.494	1804	251.568
MER5C1	12	1	13	0	30.046	226	145.588
L1MEg2	12	0	12	0	30.109	251	200.422
LTR33A	0	12	12	0	32.407	1098	233.909
LTR67B	0	12	12	0	31.683	1243	191.916
MLT1H1	0	12	12	0	32.049	2105	229.628
MLT1J	0	12	12	0	31.51	6647	206.548
MLT1J1	0	12	12	0	30.521	2441	177.718
MLT1J2	0	12	12	0	31.658	2835	190.667
L1MC4a	2	8	10	0	27.025	4951	235.652
MER45B	10	0	10	0	29.447	1325	263.949
MER45C	10	0	10	0	33.042	738	211.206
MER5C	9	1	10	0	27.885	583	177.69
MLT1E2	0	10	10	0	31.045	3116	269.754
Kanga11a	9	0	9	0	30.437	372	250.879
L1ME2z	2	7	9	0	26.749	3156	244.475
LTR77	9	0	9	0	27.57	73	118.534
MLT1K	9	0	9	0	31.823	6585	205.452
Charlie22a	0	8	8	0	29.438	403	188.921
EuthAT-2	0	8	8	0	28.636	715	264.915
L1MC5	4	4	8	0	27.363	5909	218.786
LTR37-int	8	0	8	0	27.251	540	276.848
MamGypLTR1d	8	0	8	0	30.427	277	180.036
MER34B-int	0	8	8	0	24.328	137	208.679
Charlie12_Rodent	0	7	7	0	27.098	7208	144.592
HAL1ME	5	2	7	130.96	27.862	1280	174.956
L1MB1	5	2	7	0	26.751	4317	286.753
L1MCc	5	2	7	0	28.545	945	226.751
L1M4	0	6	6	0	26.363	22049	275.104
L1MA10	5	1	6	0	26.851	1797	195.42
L1ME4a	0	5	6	0	26.674	2780	194.976
MamGypLTR4	0	6	6	0	30.572	197	190.655
MER83A-int	1	4	6	0	28.967	9	105.667
MLT1F1	6	0	6	0	30.01	2848	233.1
Charlie17	5	0	5	0	29.481	263	260.183
HAL1b	2	3	5	0	27.312	959	204.803
Helitron1Na_Mam	4	0	5	0	28.357	198	211.96
Helitron1Nb_Mam	4	0	5	0	28.784	108	238.713
L1MC2	0	5	5	0	26.462	4169	304.379
LTR40A1	5	0	5	0	30.99	220	216.086
LTR52-int	3	2	5	0	30.996	94	326.777
ERV3-16A3_I	2	2	4	0	31.029	2192	310.164
L1MC5a	4	0	4	0	27.414	5109	201.907
LTR2B_CGr	4	0	4	20201.03	21.928	80208	283.627
MER83B-int	0	4	4	0	26.766	56	125.304
MER97c	0	4	4	0	30.301	208	278.067
MER97d	0	4	4	0	28.025	64	292.188
Zaphod3	0	4	4	0	27.723	276	262.899
Eutr10	0	3	3	0	32.772	409	206.932
EUTREP16	3	0	3	0	29.526	156	149.256
Looper	1	2	3	0	27.059	386	264.959
LTR82A	0	3	3	0	31.041	644	259.106
Lx10	0	3	3	0	24.278	46721	335.215
MER31-int	2	1	3	0	26.677	303	278.05
MER90	3	0	3	0	30.362	530	236.613
MER90a	3	0	3	0	30.15	878	259.678
MER92C	3	0	3	0	28.205	147	205.102
Zaphod2	0	3	3	458.37	27.664	391	197.593
Charlie14a	2	0	2	0	28.099	162	177.117
Charlie30b	2	0	2	0	28.794	339	208.891
Charlie9	2	0	2	0	27.129	447	138.217
Cheshire	0	2	2	0	27.939	968	279.071
Kanga2_a	0	2	2	0	29.046	758	242.232
L1M3b	0	2	2	0	30.155	310	324.226
L1MDa	1	1	2	0	27.685	5010	309.887
L1ME2	0	2	2	0	27.958	5034	275.115
L1ME3	0	2	2	0	28.266	2902	258.774
L1ME3A	0	2	2	0	28.204	4297	239.338
L1ME4c	2	0	2	0	27.333	2254	233.103
LTR53-int	0	2	2	0	29.457	190	376.079
LTR86A1	2	0	2	0	31.495	244	198.287
MamRep1151	0	2	2	0	27.87	503	285.064
MamTip3	2	0	2	0	31.522	398	183.186
Zaphod5a	0	2	2	0	28.341	58	213.534
Arthur1	0	1	1	0	29.584	1552	269.659
Charlie2a	1	0	1	0	28.563	1206	253.368
Charlie31a	1	0	1	0	31.447	250	188.568
Eutr15	0	1	1	0	30.76	269	202.528
HERV16	1	0	1	0	32.426	693	274.76
L1MA9	1	0	1	0	26.087	8641	274.139
L1MB2	1	0	1	0	25.754	5533	268.31
LTR16B2	0	1	1	0	32.818	919	247.563
LTR45	1	0	1	0	25.542	69	114.217
LTR78B	0	1	1	0	32.289	1003	195.729
LTR81AB	1	0	1	0	27.825	136	168.353
MamGypLTR3a	1	0	1	0	32.167	387	189.212
MamTip1	1	0	1	0	28.481	216	150.921
MER92B	1	0	1	0	29.631	476	250.805
MLT1B	0	1	1	32.74	28.21	16507	218.568
Tigger13a	1	0	1	0	30.394	1545	246.198
Tigger2b	0	1	1	0	27.973	375	269.709
7SLRNA_short_	0	0	0	261.93			
Arthur1B	0	0	0	0	30.414	1245	243.161
Charlie18a	0	0	0	0	28.464	707	167.636
L1M3de	0	0	0	0	30.597	351	306.003
L1MB5	0	0	0	0	26.724	6896	274.127
L1MC1	0	0	0	0	26.508	9536	321.003
L1ME3B	0	0	0	0	28.059	1349	240.257
L1ME3C	0	0	0	0	27.494	426	255.57
L1ME3Cz	0	0	0	0	27.187	2821	232.151
L1ME3D	0	0	0	0	27.421	568	259.537
L1ME3F	0	0	0	0	27.668	604	237.146
L1ME3G	0	0	0	0	27.122	2919	200.714
L1MEf	0	0	0	0	28.419	4452	271.913
LTR80B	0	0	0	0	30.493	216	244.616
LTR86A2	0	0	0	0	31.915	169	174.089
Lx11	0	0	0	0	21.606	15874	356.796
MER21-int	0	0	0	0	30.143	269	276.714
MLT1E	0	0	0	0	30.161	956	226.128
MLT1E1	0	0	0	0	29.955	1050	229.119
MLT1E1A	0	0	0	0	30.887	1981	257.134
MLT1E3	0	0	0	0	30.432	1767	251.546
MTEa	0	0	0	261.93	26.098	37820	229.827
MTEb	0	0	0	982.22	25.462	20445	208.593
