Name	sense	antisense	total	RNAseq	div	copies	length
L1M4c	54	953	1007	118.86	20.449	1069	84.099
LX3	671	332	1002	388.99	20.983	16572	115.701
rnd-6_family-2443#LTR/ERV1	74	914	988	0	22.293	455	305.163
MIR3	227	760	987	32.42	19.101	1664	212.499
MER5A	953	16	970	43.22	20.802	308	487.688
LX3	300	645	945	72.03	13.64	1052	156.088
B4	535	364	899	716.75	19.262	4781	104.79
B4	511	387	898	2290.7	18.422	11677	123.346
B4A	831	56	888	7.2	26.555	2200	223.52
MTD	198	688	886	2427.57	20.325	13753	305.005
rnd-6_family-1205#Unknown	0	875	875	0	19.191	384	308.466
L1MB7	14	852	866	0	26.802	1122	195.105
B4A	36	830	866	39.62	22.54	6418	128.545
Lx7	837	24	861	3.6	24.579	3601	404.068
B4	488	362	850	3418.05	13.46	30282	153.776
B4A	232	578	810	97.25	20.271	1950	174.959
rnd-4_family-152#Unknown	0	791	791	0	22.258	1921	291.178
rnd-6_family-2124#Unknown	90	694	784	0	19.163	712	410.942
PB1D9	164	611	775	673.52	13.988	251	332.219
MTD	152	622	774	504.24	22.965	8736	282.109
B4A	112	657	770	691.53	14.419	5495	229.226
LTR90A	47	723	770	39.62	23.348	3043	135.646
ORR1E-int	182	556	738	0	19.968	66	182.061
PB1D9	731	6	738	0	26.636	813	249.97
B4	2	720	722	108.05	19.268	558	73.31
rnd-5_family-753#Unknown	3	717	720	226.91	22.904	357	220.952
PB1D9	206	512	718	8143.52	15.363	4209	117.282
PB1D7	14	693	707	0	23.037	2241	116.633
B4	612	85	696	425	16.013	4555	327.719
B4	196	494	691	889.63	15.058	1980	128.832
B4	50	611	660	551.07	15.301	1894	98.891
B4	89	557	646	7.2	24.069	2970	100.3
PB1D9	566	77	642	7.2	15.808	912	174.196
rnd-6_family-1533#Unknown	0	636	636	0	24.328	243	303.918
MIR3	526	108	635	0	15.475	186	736.237
B4	148	475	623	2647.27	13.724	21	66.333
L1MA4	251	361	612	39.62	18.09	4825	335.09
MTD	282	308	590	407	18.625	2256	173.75
L2b	18	565	583	75.64	14.656	499	384.411
Charlie29b	370	206	576	14.41	22.941	4052	353.323
B4	97	460	557	1523.53	19.625	48300	163.393
rnd-1_family-336#Unknown	547	2	549	0	13.311	18	67.611
L1MC5	502	46	548	14.41	16.714	473	164.135
B4	105	441	545	270.13	22.372	2209	79.053
B4A-1	490	47	537	81424.41	13.058	24560	207.86
B4	388	145	532	961.66	19.884	2692	75.958
PB1D9	38	494	532	857.21	21.394	5096	109.756
LX3	171	349	520	147.67	7.346	10560	372.19
MTEa-int	236	276	512	4815.52	15.187	38591	160.213
MTE2b-int	0	504	504	122.46	16.016	68	77.088
ORR1D1	314	176	491	2964.23	18.161	17266	119.422
PB1D9	52	439	491	208.9	19.099	2262	119.845
L1MA4	100	385	486	14.41	13.866	719	228.224
L3	383	103	486	0	14.633	9	59.889
L2	69	414	483	713.14	13.239	3137	376.505
PB1D9	66	412	478	190.89	23.174	4616	118.756
MTEa	473	1	475	194.49	16.016	25	97.04
Lx7	333	134	467	61.23	15.637	896	184.306
PB1D9	9	440	450	252.12	20.453	1104	76.317
LX3	102	343	446	201.7	12.835	2968	332.978
Lx8	0	445	445	0	27.098	3686	312.928
B4	280	163	443	4087.97	12.584	12256	160.594
B4	310	110	420	569.07	23.364	11030	127.937
OldhAT1	141	278	419	187.29	10.868	1151	220.407
Lx7	312	106	418	3.6	24.34	12682	354.336
L3	261	156	418	3.6	13.428	162	995.216
LTR41B	348	67	415	169.28	11.351	2201	301.527
B4-2	363	51	414	42604.92	10.102	4962	194.483
ORR1D1	202	197	400	237.71	17.815	11753	132.914
X12_DNA	166	226	392	61.23	19.214	2906	320.48
rnd-5_family-77#Unknown	355	19	374	201.7	17.625	1609	240.434
B4A	0	374	374	0	25.456	403	265.109
rnd-5_family-289#LTR/ERVK	175	194	369	0	22.393	247	397.749
rnd-1_family-167#Unknown	0	363	363	39.62	14.553	17	79.471
B4	80	281	361	3.6	19.246	307	400.345
B4-7	205	149	354	10682.74	9.705	9120	192.574
PB1D9	350	0	350	21.61	13.213	236	84.314
MLT2D	27	320	347	10.81	6.555	625	115.587
L3	195	151	347	1120.14	14.697	789	191.096
rnd-5_family-1260#Unknown	345	0	345	3680.97	23.76	1771	143.676
B4	242	96	338	352.97	16.783	10234	121.49
MTD	138	193	330	572.68	21.158	11935	307.619
rnd-6_family-444#Unknown	77	246	323	0	17.975	345	537.171
rnd-1_family-260#Unknown	322	0	322	50.42	19.146	1471	153.434
LTR84a	154	168	322	14.41	15.182	819	141.106
PB1D9	318	1	319	7.2	23.646	3212	109.659
MTD	308	8	316	25.21	4.748	143	72.769
PB1D7	269	44	312	14.41	13.611	764	185.317
MLT2D	108	202	310	868.02	16.437	13765	313.249
B4	89	219	308	846.41	15.304	5765	351.303
rnd-6_family-3091#Unknown	4	296	300	302.55	21.588	126	292.071
ORR1D1-int	297	2	299	716.75	19.58	751	113.264
B4	17	279	296	43.22	24.74	4043	148.507
MTE2a	19	277	296	10.81	24.153	7064	264.344
B4-4	178	117	295	17083.03	8.2	25068	178.835
Lx6	201	89	290	3.6	23.345	12600	342.815
Lx6	287	1	288	75.64	20.445	238	127.218
ORR1D2	12	271	282	75.64	23.495	15997	255.087
rnd-6_family-3883#Unknown	3	278	281	3.6	18.496	342	207.348
B4A	278	2	280	72.03	19.133	286	155.615
PB1D9	148	127	275	28.81	22.064	1236	98.524
ORR1D1	79	193	272	57.63	21.455	4085	301.791
OldhAT1	105	165	270	32.42	14.972	833	175.594
MamSINE1	268	2	270	93.65	16.056	1735	294.123
PB1D9	164	104	268	4883.95	6.952	364	114.775
MTD-int	96	168	264	64.83	21.041	841	365.873
rnd-5_family-334#Unknown	98	165	263	817.59	27.531	750	725.812
B4A	160	102	262	54.03	12.633	12	65.417
rnd-5_family-382#Unknown	259	0	259	0	25.851	1705	168.413
ORR1D1	252	4	256	3.6	14.584	1249	124.561
ORR1D1	252	4	256	18.01	16.828	357	110.238
L3	110	146	256	151.27	9.891	1977	191.605
PB1D9	162	90	252	212.5	8.45	12	74.167
Lx7	210	41	251	93.65	19.242	175	79.137
Lx6	226	25	251	428.61	21.066	1396	197.506
rnd-6_family-1489#Unknown	1	248	249	0	26.657	619	369.801
rnd-1_family-131#Unknown	1	245	246	32.42	14.794	132	75.182
B4	245	0	245	64.83	12.197	168	119.381
MTD	148	97	244	6166.17	16.021	21527	188.663
B4	203	41	244	248.52	23.097	2768	104.866
rnd-4_family-318#Unknown	76	166	242	10.81	24.2	1603	287.084
ORR1D1-int	108	133	241	187.29	21.668	9724	458.873
rnd-1_family-316#Unknown	24	210	234	0	21.613	320	249.859
B4	150	83	233	1361.46	23.11	34915	200.843
MER52-int	156	76	232	907.64	14.829	262	99.004
PB1D9	66	166	232	25.21	22.825	384	542.935
rnd-5_family-91#Unknown	22	209	231	0	29.404	1183	620.495
MTEb	1	229	230	57.63	17.158	2408	186.704
MTD	210	19	229	158.48	18.826	3260	296.887
B4	133	95	228	1267.81	8.324	66	71.667
PB1D9	41	186	227	14.41	23.253	395	317.397
rnd-5_family-149#Unknown	226	0	226	180.09	16.178	805	241.185
MLT2B1	8	217	225	21.61	3.513	200	53.58
MTD	216	7	223	4289.67	14.745	483	90.333
B4A	197	24	221	1455.1	23.305	2953	129.816
rnd-4_family-989#LTR/ERVK	28	191	219	7.2	22.057	202	311.233
Charlie1a	13	203	216	0	26.435	533	209.839
B4A	148	62	210	8943.11	18.356	1086	141.966
B4A	148	62	210	3709.79	17.425	1140	121.685
Charlie11	181	29	210	1664	15.671	955	186.914
rnd-6_family-1390#Unknown	147	62	209	3054.27	17.416	75	110.32
B4A	174	35	209	7.2	20.195	169	241.497
rnd-6_family-1967#Unknown	47	160	207	3.6			
B4A	194	13	207	0	21.026	482	231.695
MT2A	206	0	206	1069.72	19.902	777	194.084
MER34-int	84	121	205	0	26.372	358	414.056
MTD	44	159	203	50.42	22.42	3663	89.946
B4	184	16	200	1289.42	17.394	66	80.409
B4A	163	36	199	378.18	23.137	1390	162.317
MTEb-int	19	178	197	212.5	15.3	90	214.956
B4A	188	9	197	3.6	25.227	3599	234.349
L1MA4	47	149	196	0			
PB1D9	155	39	194	1055.31	10.8	10	144.9
LX3	191	3	194	309.75	2.34	134	39.254
rnd-6_family-4073#Unknown	193	0	193	39.62	13.11	285	450.025
B4	193	0	193	61.23	18.863	125	422.744
LTR84a	19	173	192	108.05	17.352	1230	462.85
Lx7	187	4	191	126.06	21.811	343	133.309
rnd-5_family-333#Unknown	121	69	191	4901.96	18.669	1049	274.824
MTE2a	19	172	190	75.64	16.487	38	140.763
PB1D7	63	127	190	14.41	24.033	978	218.925
B4A	141	47	189	886.03	17.45	8	96.25
ORR1E	183	1	184	504.24	15.043	1056	257.358
MTD-int	40	143	183	835.6	21.59	1663	420.789
L3b	26	154	180	0	13.366	253	843.3
rnd-6_family-485#Unknown	20	160	180	28.81	4.966	245	57.167
ORR1D1	141	38	178	626.7	15.358	5495	237.827
L1M3	0	178	178	3641.35	13.783	339	353.534
X6B_LINE	1	177	178	3.6	14.052	248	330.69
RodERV21-int	22	154	176	32.42	20.572	220	660.577
PB1D7	170	2	172	0	23.567	4040	146.67
rnd-6_family-734#Unknown	148	21	168	1541.54	23.855	39998	183.961
B4A	100	68	168	558.27			
B4	100	68	168	504.24	18.16	5	81.4
B4	8	160	168	0	25.274	501	274.633
RMER5	8	159	167	0	20.268	173	281.451
PB1D9	97	67	164	280.94	7.867	3	33.667
PB1D9	113	51	164	79.24	17.649	226	455.898
L1MA4	117	44	162	61.23	20.45	58	81.603
L3	61	98	159	0	23.071	342	741.588
PB1D9	122	36	158	5950.07	16.052	4816	601.503
MIR3	95	62	158	810.39	12.164	3714	284.616
MER70B	13	145	158	21.61	21.649	2009	93.447
Lx7	156	0	156	28.81	20.447	325	158.172
MLT2D	86	66	152	489.84	15.306	558	258.158
Lx6	144	7	151	5056.84	3.718	821	78.754
ORR1D1	8	143	151	954.46	18.537	5182	153.462
IAPLTR_MA	72	80	151	39.62	20.407	3374	298.868
MTD	3	147	150	151.27	16.226	367	86.232
PB1D10	18	128	147	3.6	24.528	4883	100.674
B4A	144	2	146	18.01	24.693	2318	166.905
Lx7	0	145	145	0	19.6	275	251.476
B4A	86	57	143	2895.79	22.166	53773	210.991
Charlie11	121	22	143	50078.52	11.521	3531	507.396
rnd-6_family-1878#LTR/ERV1	75	66	141	108.05	18.033	1987	264.713
Lx6	10	131	141	0	23.507	252	391.921
PB1D7	78	61	139	82.84	16.447	219	104.406
rnd-1_family-210#Unknown	37	102	139	21.61	23.211	1097	81.974
rnd-5_family-894#Unknown	1	136	138	0	22.265	1299	511.737
rnd-4_family-1254#Unknown	1	137	138	10.81	23.142	380	153.347
B4A	48	89	137	3857.46	21.003	9778	151.704
B4	78	58	136	1228.19	13.544	6543	263.624
X6A_LINE	10	126	136	3.6	25.811	12961	230.52
MIR3	72	63	134	3684.57	12.324	139	99.446
PB1D9	17	116	134	0	22.198	241	467.349
MTD	61	72	133	169.28	23.518	1509	197.879
L3	65	68	133	36.02	17.338	306	626.487
rnd-6_family-859#Unknown	55	78	133	0	16.734	327	273.183
rnd-6_family-2437#Unknown	123	9	132	3.6	24.003	2397	110.942
ORR1E	60	71	131	208.9	11.791	23	61.957
Lx8	112	19	131	0	28.35	6943	208.986
B4	78	53	131	0	26.186	1119	209.373
ORR1D1	64	66	130	1491.12	15.511	56	86.875
PB1D9	125	5	130	486.23	15.882	6290	309.02
B4A	127	1	128	630.3	20.553	58	70.345
Zaphod2	18	109	128	122.46	15.076	114	388.851
L2a	88	39	127	187.29	5.075	4	61.75
rnd-6_family-5769#Unknown	0	125	125	100.85	20.562	118	140.051
MTD-int	0	125	125	0	24.697	183	169.383
Lx8b	14	110	124	205.3	23.668	19727	314.701
PB1D9	109	15	124	0	20.947	631	434.862
rnd-6_family-5186#Unknown	123	1	124	0	16.983	175	467.177
MTD	27	96	123	1523.53	13.969	134	90.537
Lx6	65	57	122	0	22.875	590	376.246
B4	107	14	121	18.01	24.2	5501	169.686
MER70B	50	69	119	16452.72	5.438	1357	125.274
L1M4b	78	39	118	75.64	20.824	1446	390.624
L1MA4	107	11	118	50.42	21.544	8388	587.426
PB1D9	0	118	118	0	24.75	540	363.169
rnd-6_family-2648#Unknown	17	100	117	738.36	19.354	11182	286.911
rnd-5_family-308#Unknown	38	79	117	3875.47	5.713	232	71.746
Lx8b	69	48	117	266.53	20.914	465	416.946
Lx6	102	14	117	86.44	20.057	2197	308.31
B4A	113	4	117	0	22.296	697	288.951
BC1_Ma	0	116	116	0	24.016	4758	88.008
rnd-6_family-117#Unknown	75	40	115	2038.58	9.139	192	53.948
Lx7	115	0	115	0	22.658	573	134.979
B4A	0	115	115	0	24.183	1530	143.595
B4	0	112	112	21.61	16.857	678	286.488
X12_DNA	5	105	110	90.04	17.074	5992	420.986
ORR1D1	109	0	109	7.2	22.746	2521	314.336
MER99	0	108	108	0	18.83	150	231.92
X6A_LINE	73	35	108	4480.56	6.808	2052	240.069
PB1D9	29	78	107	5179.29	12.109	115	68.009
Lx9	18	88	106	10.81	23.524	8989	275.897
MT2A	51	55	106	237.71	18.303	357	334.07
BC1_Ma	105	0	105	176.48	23.901	5626	91.512
X15_LINE	7	98	104	576.28	17.626	352	406.611
L3b	74	28	102	986.88	19.404	1805	242.455
B4	28	73	101	14.41	18.945	11	133.636
Lx6	58	42	100	14.41	22.662	1678	523.477
X6A_LINE	20	79	99	475.43	4.142	76	56.987
PB1D9	97	2	99	3.6	15.576	503	570.366
LX3	76	17	94	1678.41	12.463	27	81.037
B4-5	20	75	94	16171.79	5.102	1838	159.837
MER70B	73	20	93	20061.66	5.491	3438	269.46
MLT2B1	5	87	92	0	17.537	115	588.209
Lx8	76	16	92	0	19.7	111	111.45
rnd-6_family-1242#Unknown	0	91	91	0	23.335	454	224.044
ORR1D1-int	7	83	90	212.5	20.887	282	178.447
B4	25	64	89	1080.52	24.318	64950	167.337
B4	70	18	88	1174.17	19.398	324	105.586
L1M4	51	37	88	97.25	15.195	1227	176.403
Lx7	32	54	87	3.6	26.29	10198	361.803
CR1-L3B_Croc	49	38	87	140.47	17.304	1719	492.148
X6B_LINE	34	53	87	36.02	14.926	404	398.812
Lx8	18	68	86	3320.8	20.894	631	277.762
MTD-int	0	86	86	7.2	26.733	4810	256.321
ORR1D1	74	12	86	543.86	16.59	4524	275.723
L2b	26	59	85	655.52	12.729	2731	457.152
MER70B	18	68	85	522.25	14.108	1675	231.831
ORR1D1	39	46	85	1091.33	11.786	8630	918.961
Lx6	85	0	85	72.03	20.789	870	366.931
LX3	26	58	84	1613.58	19.408	176	383.807
rnd-6_family-398#Unknown	83	0	83	36.02	16.493	128	158.531
MTEa	80	3	83	0	28.302	262	244.008
UCON78	3	78	82	850.01	7.774	1848	55.223
Lx9	49	33	82	0	23.053	1624	286.459
L1M2	18	64	82	0	23.11	350	851.951
B4A	0	81	81	9188.02	12.694	2101	162.255
ORR1D1	64	18	81	846.41	15.47	13342	311.714
Lx6	5	76	81	82.84	24.754	2318	165.3
rnd-6_family-3409#Unknown	80	0	80	57.63	13.289	393	126.193
PB1D9	62	18	80	932.85	6.28	569	205.497
rnd-1_family-321#Unknown	80	0	80	3594.53	20.624	116	454.353
MamRTE1	0	80	80	0	24.544	603	223.048
Lx8	0	79	79	129.66	18.549	341	308.311
MTD-int	10	68	78	2794.95	19.567	67	121.015
B4-6	12	64	77	11946.95	5.415	960	208.288
rnd-5_family-755#Unknown	22	54	76	0	24.325	707	146.235
B4	62	12	74	813.99	14.896	829	181.498
PB1D9	4	68	73	0	19.592	191	598.476
rnd-5_family-2467#Unknown	8	64	72	0	26.782	420	183.65
Lx8	0	71	71	7.2	27.698	15205	385.385
rnd-6_family-2483#Unknown	15	56	71	5337.77	17.307	157	440.586
B4A	56	14	70	75.64	16.38	164	116.805
Lx6	18	53	70	26832.92	8.608	5015	257.182
B4-3	18	52	70	3.6	24.877	674	98.28
rnd-6_family-3994#Unknown	0	69	69	50.42	12.197	334	149.958
rnd-1_family-348#Unknown	18	52	69	3698.98	7.562	1155	207.51
B4	17	52	69	3.6	24.347	434	233.666
rnd-6_family-3012#Unknown	2	66	68	7.2	24.166	4769	157.155
PB1D11	68	0	68	0	27.27	323	228.266
PB1D9	4	62	67	0	16.44	10	91.7
B4A	50	13	64	104.45	25.28	1748	76.366
B4A	56	8	63	14.41	22.666	2520	438.588
B4	15	47	62	338.56	9.139	591	154.953
ORR1D1	41	21	62	306.15	22.249	10192	128.339
B4	6	55	61	180.09	20.177	2282	143.491
MTE2b	3	58	61	28.81	26.218	11812	249.249
rnd-6_family-323#Unknown	59	2	61	7.2	26.219	4727	223.866
Lx7	60	1	61	0	23.962	444	204.732
Lx8b	0	60	60	3.6	21.946	151	97.424
ORR1D-int	0	60	60	1498.32	5.775	511	258.272
B4A	18	41	59	291.74	20.372	2950	73.555
rnd-6_family-1509#Unknown	0	59	59	10.81	17.68	302	340.248
Lx6	41	17	58	14165.62	12.186	3171	112.989
Lx9	0	57	57	3.6	25.712	1650	217.553
rnd-5_family-1492#Unknown	32	25	57	0	24.879	301	263.429
rnd-1_family-195#Unknown	0	56	56	212.5	18.122	65	187.077
rnd-1_family-329#Unknown	56	0	56	10.81	15.082	187	123.337
ORR1D1-int	0	55	55	352.97	17.05	599	213.354
rnd-6_family-1222#Unknown	39	16	55	165.68	18.725	76	77.408
PB1D9	20	35	55	154.87	23.91	233	225.034
PB1D9	55	0	55	32.42	11.5	1	51
B4	6	49	55	3.6	20.842	905	337.507
rnd-1_family-302#Unknown	53	2	55	7.2	22.154	1008	158.966
ORR1E	0	54	54	3.6	17.03	711	77.142
Lx8b	10	45	54	1916.12	10.665	1152	256.781
BC1_Ma	20	34	54	0	26.187	2397	234.105
RodERV21-int	54	0	54	75.64	16.432	1782	187.98
rnd-1_family-238#Unknown	9	45	54	0	26.336	3021	228.819
MT2A	48	5	54	0	16.59	120	223.05
BC1_Ma	54	0	54	0	22.283	1465	73.517
B4	37	18	54	162.08	21.153	323	419.248
rnd-6_family-3096#LINE/L1	51	2	53	2722.91	20.587	1459	268.382
MTD-int	35	18	53	0	25.719	332	219.56
rnd-6_family-331#Unknown	53	0	53	147.67	19.042	1171	65.015
B4A	39	14	52	1555.95	15.998	2980	276.775
MTD	48	4	52	14.41	15.19	323	336.7
4.5SRNA	49	2	51	11374.28	10.025	1140	72.23
ORR1D1	8	42	50	255.72	4.204	5299	140.34
LX3	34	16	50	3.6	20.941	615	372.028
ORR1D1	0	49	49	21.61	15.533	3	56
MTD	46	3	49	194.49	17.83	138	211.87
rnd-6_family-595#LTR/ERVL-MaLR	0	48	48	32.42	9.65	42	44.429
ORR1D1	45	4	48	421.4	16.37	177	168.955
MLT2D	2	46	48	507.84	11.669	342	119.605
Lx6	6	42	48	0	28.938	590	285.42
B4A	29	18	47	7.2	26.516	7959	234.342
B4	39	8	47	2344.73	22.465	2004	121.921
RodERV21-int	28	19	46	28.81	16.275	197	454.34
L1M2	0	45	45	7.2	13.968	280	103.221
MER52-int	37	8	45	28.81	22.495	595	244.955
rnd-5_family-1331#Unknown	15	30	45	0	24.743	601	714.331
B4	0	45	45	3.6	25.432	605	243.051
MamTip2b	2	42	44	277.33	14.795	1017	405.482
MER52-int	37	8	44	90.04	14.519	344	419.642
L2c	14	29	44	10.81	22.107	2777	730.172
L1M4	10	33	43	122.46	17.46	141	62.099
MTEa	0	43	43	7.2	22.11	2808	335.373
L3	43	0	43	46.82	19.233	808	277.757
X15_LINE	41	2	43	0	24.445	1617	357.2
MTD-int	11	32	43	1685.61	19.769	103	423.485
ORR1E	42	0	42	3.6	26.658	3336	242.17
BC1_Ma	2	40	42	219.71	17.759	1507	300.678
L1MA4	5	37	42	0	22.993	1694	200.585
L2	42	0	42	223.31	17.332	383	241.355
rnd-6_family-258#Unknown	0	42	42	0	23.09	2366	89.473
MIRc	40	1	41	623.1	13.095	352	81.375
MTD	38	3	41	75.64	11.98	1148	129.328
LTR53B	32	10	41	522.25	15.084	609	68.187
LX3	0	41	41	3.6	18.887	298	271.547
B4	6	35	40	21.61	19.87	61	67.164
ORR1D2	0	40	40	10.81	21.328	997	273.594
OldhAT1	14	25	39	104.45	17.539	974	258.747
MTEa	38	0	38	10.81	23.908	736	122.183
MER33	1	37	38	7.2	2.4	1	41
Charlie1a	38	0	38	0	24.398	520	285.338
rnd-5_family-565#Unknown	33	5	38	0	25.076	383	151.943
MTE2b	0	38	38	0	24.827	267	182.142
X6B_LINE	5	33	38	0	26.378	9427	238.442
PB1D11	34	3	37	25.21	25.196	11226	138.671
rnd-6_family-9481#Unknown	37	0	37	43.22	14.814	216	258.546
PB1D7	37	0	37	0	17.836	212	126.967
rnd-6_family-76#Unknown	0	36	36	18.01	17.37	221	240.656
rnd-4_family-937#Unknown	36	0	36	43.22	18.464	651	153.131
rnd-4_family-85#Unknown	4	32	36	741.96	24.727	3769	202.264
L3	36	0	36	0	24.762	731	183.029
rnd-5_family-549#Unknown	0	35	35	68.43	20.908	1044	131.661
B4A	19	16	35	104.45	19.665	13287	287.128
ORR1D1-int	34	1	35	0	24.993	12275	145.435
ORR1D1	24	11	35	64.83	13.217	415	173.778
LX3	32	3	35	0	25.385	1621	201.134
rnd-5_family-824#Simple_repeat	24	10	34	133.26			
rnd-5_family-866#LTR/ERVL	6	27	33	0	28.635	688	426.548
MER33	32	1	33	0	22.291	246	162.325
MLT1D	11	21	32	15354.19	14.024	1446	351.172
MTE-int	0	32	32	2164.64	12.45	1717	132.054
rnd-6_family-1100#Unknown	32	0	32	0	27.471	1395	165.812
L1M2c	22	9	32	136.87	18.295	291	85.536
Lx7	22	11	32	0	26.539	1278	216.441
rnd-4_family-413#Unknown	2	29	31	22161.47	12.015	1052	142.298
B4	31	0	31	0	16.867	577	151.891
MERVL_2A-int	0	30	31	3.6	23.555	3051	91.057
rnd-1_family-341#Unknown	5	26	31	0	17.153	376	335.428
L2	0	31	31	90.04	18.795	177	397.853
L1MB2	23	7	30	28.81			
MTE2b	7	23	30	43.22	23.746	4461	283.611
PB1D9	0	30	30	0	26.196	2444	195.846
Tigger17a	2	27	29	72.03	16.336	11	132.727
