Name	sense	antisense	total	RNAseq	div	copies	length
MER52-int	13892	281	14174	2.7	22.296	288	502.802
L1-1B_Cpo	3047	10434	13481	5.4	22.271	3840	572.689
L1-4A_Cpo	3014	10198	13212	83.71	12.35	6026	1372.784
LTR12D_Cpo	5158	7999	13158	191.73	6.767	1153	963.86
rnd-6_family-750	21	13036	13057	0	26.708	328	282.137
L1-4_Cpo	3719	9286	13005	16.2	19.496	183	156.454
ERV1A-CPo_I-int	109	12575	12684	75.61	13.804	1688	584.361
L1-1_Cpo	3536	9096	12632	89.11	4.818	4868	2791.927
L1-1C_Cpo	3619	8800	12419	35.11	16.505	1712	257.439
L1-1C_Cpo	3020	8968	11988	91.81	2.245	5507	2757.177
L1-3_Cpo	2413	9526	11939	118.82	17.993	36088	831.86
L1-1_Cpo	8840	2910	11751	37.81	4.709	950	1067.892
L1-1D_Cpo	2911	8502	11413	5.4	21.995	2282	263.672
L1-1C_Cpo	2949	8410	11359	16.2	15.621	234	713.513
L1-1B_Cpo	2420	8916	11336	29.7	18.693	28	124.643
L1-1F_Cpo	2810	8499	11309	51.31	10.802	1998	1431.49
L1-1C_Cpo	2884	8411	11294	29.7	11.235	567	2408.66
L1MDa	2769	8336	11106	27	20.059	1050	206.389
L1-4A_Cpo	4517	6538	11055	2.7	23.139	5511	318.007
MER52-int	32	10977	11010	18.9	16.382	616	391.344
LTR11_Cpo	70	10838	10908	27	12.334	914	343.138
LTR11_Cpo	10825	5	10830	10.8	14.936	481	330.79
LTR11_Cpo	10806	24	10830	10.8	12.749	45	244.844
LTR12D_Cpo	691	10023	10713	37.81	16.484	109	365.817
L1-3_Cpo	9059	1522	10581	218.73	21.415	16130	123.063
LTR13_Cpo	2313	8235	10548	164.73	27.46	5	122
LTR11_Cpo	10271	3	10274	48.61	11.07	653	209.09
LTR12_Cpo	9787	6	9793	83.71	13.932	304	245.849
CAVID	54	9591	9645	510.38	13.661	581	128.621
L1-1G_Cpo	2590	6855	9445	16.2	17.94	2431	860.495
L1M3	5521	3748	9269	70.21	15.155	2543	657.339
HAL1-4A_Cpo	3657	5460	9117	143.12	16.02	2714	348.563
ERV2-3_CPo-I	3476	5124	8600	534.68	11.56	1577	1127.196
Tigger6	8127	426	8553	0	16.476	585	207.479
L1M2	5546	3000	8546	148.52	21.096	11942	393.908
ERV2-3_CPo-I	3442	4964	8406	216.03	4.979	1581	2338.028
L1-4_Cpo	778	7310	8088	10.8	22.341	1909	250.651
L1-1E_Cpo	2415	5539	7954	226.84	7.307	1169	407.393
MLT1F2	65	7822	7887	43.21	21.818	8852	136.331
OldhAT1	646	7217	7863	1277.3	5.316	290	416.459
LTR5B_Cpo	5190	2330	7520	175.53	13.252	2914	312.416
LTR5B_Cpo	5212	2226	7438	410.46	15.786	9090	328.313
LTR13_Cpo	6995	308	7303	280.84	22.962	2314	183.348
rnd-1_family-276	51	6921	6972	224.14	24.211	650	119.432
ERV2-3c_CPo-I	4879	2001	6881	91.81	8.678	491	593.923
STRIDE_Cpo	6759	13	6771	623.8	23.048	30245	75.105
STRIDE_Cpo	6758	12	6770	669.71	19.044	179	78.034
HAL1-4A_Cpo	45	6010	6055	955.95	16.82	8660	508.115
LTR6E_Cpo	4418	936	5354	1247.6	7.588	1104	286.563
L1-3A_Cpo	4821	76	4897	2.7	24.75	3764	90.488
MARNA	4481	391	4872	189.03	23.778	4990	263.578
MER63C	3380	1357	4737	27	22.181	1839	148.883
L1M4	3227	1429	4656	10.8	17.894	1690	192.93
MTE-int	2515	1773	4288	348.35	17.144	5785	729.233
L1-4_Cpo	985	3261	4246	40.51	20.885	3646	284.239
MER52-int	11	4220	4231	10.8	18.577	759	474.316
HAL1-2C_Cpo	869	3261	4130	14963.06	20.417	1658	1139.7
CAVID2B1	4015	95	4110	2700.43	16.302	14178	78.526
HAL1-4A_Cpo	2772	1319	4090	367.26	15.792	4390	341.774
ERV1A-CPo_I-int	28	4061	4089	94.51	15.203	3682	584.361
B4	3605	456	4061	2.7	5.716	2433	9250.644
L1-3_Cpo	414	3544	3958	367.26	20.883	6688	247.592
L1-4_Cpo	2019	1867	3886	8.1	14.748	23	92.652
L1-2_Cpo	2109	1769	3878	18.9	22.933	6290	166.767
HAL1-3B_Cpo	268	3584	3852	802.03	9.533	4282	1157.295
L1-1E_Cpo	513	3288	3801	8.1	18.909	1456	427.355
L1M2	257	3526	3783	16.2	24.552	2460	224.163
ERV2-3b_CPo-I	1530	2244	3774	2.7	21.545	492	1960.76
ERV2-4_CPo-I	3280	416	3696	48.61	32.037	27	379.815
ERV2-3c_CPo-I	2637	982	3619	610.3	11.798	324	909.108
L1-3_Cpo	3358	241	3599	2662.62	17.671	2047	762.58
MTE-int	942	2486	3427	97.22	22.814	20656	609.965
HAL1-3A_Cpo	2495	861	3356	27	19.481	8120	130.385
L1-3_Cpo	577	2751	3328	264.64	14.102	26832	74.413
ERV2-3_CPo-I	820	2458	3278	602.19	7.933	1850	1083.6
L1-1D_Cpo	1619	1398	3017	27	25.272	33822	613.468
L1MA5A	1193	1809	3002	83.71	21.431	26648	61.01
MTE-int	774	2167	2941	0	18.348	163	1324.356
MamRTE1	8	2876	2884	32.41	22.181	113	102.522
rnd-1_family-329	2740	0	2740	0	20.657	51	103.706
L1M3	41	2635	2676	124.22	13.309	1074	1298.736
HAL1-4A_Cpo	628	2029	2657	45.91	18.15	56	118.661
HAL1-1C_Cpo	1462	1170	2632	70.21	14.349	32889	64.954
L1ME1	1143	1460	2603	313.25	19.282	16979	169.963
HAL1-4_Cpo	1814	783	2597	113.42	14.121	5462	1179.106
HAL1-4B_Cpo	615	1949	2564	48.61	11.922	1908	1222.914
ID-B1_Cpo	1260	1253	2513	332.15	21.048	37371	84.705
L1-4A_Cpo	1279	1123	2402	226.84	17.261	2007	378.205
Zaphod4a	272	2085	2357	0	20.527	211	290.692
L1-1C_Cpo	618	1680	2298	18.9	23.575	19283	489.656
L1-3A_Cpo	4	2244	2248	0	23.893	355	352.228
CAVID	462	1779	2241	16361.88	7.585	53238	104.427
CAVID2	1377	825	2202	847.93	17.745	16981	79.256
ERV2-3c_CPo-I	581	1620	2201	5003.89	10.019	16485	99.611
CAVID2B1	816	1376	2192	561.69	17.446	12661	75.66
HAL1-4A_Cpo	1939	252	2191	2.7	22.724	407	128.265
ERV2-5_CPo-I	389	1790	2178	13.5	26.549	317	931.12
L1MCa	51	2121	2172	0	25.168	2364	241.829
L1MC1	1634	510	2144	461.77	20.15	19347	142.996
ID-B1_Cpo	1306	833	2139	124.22	20.565	42382	180.05
CAVID	505	1594	2099	6880.68	8.484	10005	96.41
L2b	2043	8	2051	8.1	21.86	5	611
B4	1544	498	2042	1039.66	7.715	662	1179.659
LTR6_Cpo-int	1319	677	1996	469.87	17.833	2328	515.26
LTR6I_Cpo	1150	846	1996	0	23.314	217	1051.387
CAVID2B	1487	493	1981	8176.89	14.74	10701	75.858
L2a	1468	505	1973	178.23	18.32	22300	61.873
MER52-int	1303	608	1910	0	23.739	1428	502.951
L1MC	772	1113	1886	715.61	22.173	1238	574.405
LTR7_Cpo	1423	461	1884	99.92	10.176	616	352.826
MER52-int	0	1870	1870	56.71	19.15	783	453.151
ERV2A-CPo_I	555	1305	1860	302.45	18.585	1128	778.96
HAL1-4A_Cpo	94	1738	1831	94.51	18.884	10843	578.254
LTR6C2_Cpo	168	1613	1781	186.33	16.756	2597	315.069
LTR7_Cpo	1434	277	1712	45.91	11.004	281	362.046
CAVID	452	1257	1709	8541.45	6.898	3159	93.958
LTR8_Cpo	291	1414	1705	89.11	16.612	3638	498.269
HAL1-1B_Cpo	983	695	1678	1347.51	5.892	8094	1604.004
ERV2-4_CPo-I	121	1535	1656	148.52	5.213	208	663.279
LTR7_Cpo	1434	207	1641	18.9	12.92	5	219.8
MER58A	972	665	1637	310.55	22.046	8320	88.961
HAL1-1A_Cpo	805	804	1610	151.22	5.919	1763	1517.058
LTR8B_Cpo	94	1500	1594	197.13	13.998	2295	433.712
HAL1-2C_Cpo	669	912	1581	302.45	8.308	5305	1511.328
L1-2A_Cpo	97	1469	1565	21.6	13.942	12	59.75
LTR6H_Cpo	242	1305	1547	0	25.846	4980	190.433
LTR8C_CPo	0	1520	1520	40.51	14.448	66	48.485
MTE-int	732	757	1489	29.7	22.721	4965	223.537
CAVID	296	1192	1489	291.65	20.991	6479	58.811
MER52-int	777	697	1474	5.4	19.496	2839	698.839
LTR8C_CPo	932	487	1419	415.87	18.474	14534	442.906
STRIDE_Cpo	412	994	1406	305.15	19.299	4874	180.855
LTR8_Cpo	48	1343	1392	75.61	11.487	2291	297.135
LTR13_Cpo	326	1050	1376	9586.51	22.312	4599	335.549
RodERV21-int	42	1331	1373	534.68	14.519	31	93.097
OldhAT1	84	1230	1314	10.8	13.721	133	668.94
LTR6_Cpo	413	891	1304	715.61	9.944	3912	314.69
MER20	1119	164	1283	0	24.329	650	579.582
HAL1-2C_Cpo	622	659	1281	113.42	8.437	1843	398.301
HAL1-1E_Cpo	888	391	1279	594.09	2.267	2777	1634.189
LTR6_Cpo	697	576	1273	2762.54	6.277	3695	326.248
HAL1-4A_Cpo	30	1241	1270	64.81	21.782	9806	235.737
LTR6F_Cpo	552	678	1230	313.25	20.019	10641	358.766
L2	520	699	1219	1039.66	11.461	44	73.727
HAL1-1D_Cpo	832	382	1214	367.26	3.831	1380	1913.206
HAL1-3D_Cpo	441	761	1202	361.86	3.253	849	2271.973
HAL1-1C_Cpo	832	367	1199	89.11	8.387	258	1142.713
LTR6_Cpo	424	769	1193	153.92	11.366	500	279.856
LTR6F2_Cpo	553	610	1163	45.91	18.702	1633	307.189
MER52-int	638	513	1151	24.3	12.97	458	266.406
LTR6_Cpo	372	776	1148	394.26	13.54	116	145.422
L2	1119	18	1138	29.7	18.985	2214	197.351
ID-B1_Cpo	106	993	1099	572.49	16.851	22157	132.915
MER3	175	904	1079	0	22.404	541	813.098
LTR6B2a_Cpo	268	805	1073	62.11	16.362	873	318.63
ERV2-3d_CPo-LTR	1015	57	1072	64251.23	1.968	364	333.115
HAL1-1C_Cpo	770	302	1072	135.02	5.547	280	1838.975
HAL1-1G_Cpo	828	237	1064	45.91	4.739	131	328.206
LTR8_Cpo	929	113	1042	81.01	21.179	1612	174.2
CAVID2	233	786	1019	2554.6	16.401	6758	79.813
L1MEc	960	43	1004	0	26.392	2800	302.699
LTR6G_Cpo	73	922	995	197.13	20.237	4962	248.072
ERV2A-CPo_I-int	84	901	985	13.5	13.951	401	803.147
HAL1-4A_Cpo	946	20	965	332.15	16.842	219	115.105
HAL1-1F_Cpo	723	239	962	261.94	2.525	1812	1597.399
MLT1A0	932	0	932	8.1	26.098	18967	216.652
ERV1A-CPo_I-int	795	136	931	723.71	7.389	150	664.947
LTR6C_Cpo	111	817	928	189.03	16.38	3461	325.229
OldhAT1	155	772	927	135.02	15.978	2104	219.778
L1MC2	287	640	927	0	23.236	4594	69.513
LTR16A1	671	243	913	13.5	26.774	2098	123.775
L1-4_Cpo	52	858	910	367.26	15.746	680	83.728
rnd-5_family-807	116	794	910	0	25.032	1235	417.829
HAL1-4_Cpo	4	904	908	13.5	16.009	23	55.043
L1MB3	854	53	907	21.6	15.648	889	752.236
HAL1-3B_Cpo	798	107	906	126.92	10.13	948	541.145
MLT1A	13	883	896	0	23.028	293	570.457
LTR6B2_Cpo	153	739	892	67.51	15.302	1022	333.484
HAL1-1C_Cpo	517	370	888	564.39	4.492	3260	2107.894
L1-3A_Cpo	683	201	884	21.6	23.071	15761	627.628
ERV2-4_CPo-I	50	820	870	18.9	19.824	1398	376.298
HAL1-4C_Cpo	517	351	868	83.71	11.516	2261	1354.31
rnd-6_family-3647	1	867	868	0	25.562	843	215.649
LTR6F_Cpo	111	705	816	48.61	21.551	3110	98.994
LTR6E_Cpo	508	305	813	170.13	20.216	50	97.72
MamRTE1	732	76	807	8.1	19.435	117	57
rnd-1_family-196	217	568	784	10912.42	20.875	4	54.25
ID-B1_Cpo	314	467	781	13.5	20.107	1165	549.528
LTR12D_Cpo	588	185	773	8.1	24.163	93	113.419
LTR8_Cpo	708	65	773	91.81	18.327	1611	253.738
MER31A	538	233	771	10.8	15.265	1480	405.478
L1-3A_Cpo	438	333	771	4658.23	24.636	30327	89.991
HAL1-1H_Cpo	429	338	768	23698.93	3.826	254	1729.539
LTR8C_CPo	483	279	762	137.72	22.7	6683	326.495
Tigger12	72	665	738	108.02	17.785	2238	421.745
ERV1NA-CPo_I	173	564	737	191.73	13.817	1690	1411.266
ERV2B-CPo_I	194	543	737	113.42	17.856	1471	497.759
LTR6E_Cpo	110	622	732	113.42	20.141	427	103.347
rnd-4_family-537	360	371	731	0	23.543	2544	290.088
L1-2B_Cpo	578	150	728	494.18	21.051	3531	88.757
LSU-rRNA_Hsa	563	165	728	334.85	15.066	247	909.745
LTR6E_Cpo	139	588	726	243.04	18.286	11922	342.37
MER52-int	597	125	722	13.5	21.693	1122	469.269
ERV1A-CPo_I-int	23	691	714	35.11	14.369	506	212.006
ERVL-B4-int	694	18	712	2.7	23.208	1276	393.807
ERV2-3c_CPo-LTR	115	585	699	2641.02	8.491	299	330.137
ERV2-3_CPo-I	609	88	697	596.79	13.177	104	221.202
CAVID	54	638	693	99.92	4.427	401	135.187
L3	38	640	678	1072.07	9.6	1296	487.715
HAL1-1G_Cpo	373	294	667	218.73	2.406	1549	1970.019
ERV2-3_CPo-LTR	68	588	656	734.52	1.178	772	409.337
L1MA5	647	6	653	818.23	18.125	3450	101.811
ERV2-3d_CPo-I	278	367	645	41837.69	4.251	295	679.837
ERV1A-CPo_I	122	517	639	16.2	21.764	466	1967.921
rnd-6_family-153	480	159	639	0	25.733	256	334.242
L1MA6	602	34	636	186.33	21.397	11176	65.364
CAVID2A	398	229	627	4517.81	12.39	2190	77.476
CAVID	482	130	612	2.7	22.128	348	260.79
CAVID	472	135	608	4407.09	16.027	24615	84.873
CAVID1C	234	371	605	3413.34	11.406	4866	84.569
ID-B1_Cpo	148	456	605	118.82	19.054	3777	643.771
CAVID2	473	125	598	3310.72	15.606	11069	85.356
CAVID	236	356	592	2001.02	15.844	4396	81.009
CAVID	467	125	591	2030.72	16.37	21230	86.26
LTR6D_Cpo	87	503	590	324.05	16.91	7808	314.428
ERV1A-CPo_I-int	80	509	588	8.1	26.773	1717	635.961
CAVID2D	470	113	583	2230.55	15.098	5286	80.295
MIR3	340	242	582	0	21.647	1419	126.199
LTR13_Cpo	83	494	577	13.5	18.93	481	433.083
L1-1C_Cpo	225	350	575	110.72	4.584	542	554.651
LTR6H_Cpo	122	440	562	340.25	21.983	9656	281.485
LTR11_Cpo	526	10	536	13.5	14.3	435	106.887
L1ME2	67	468	535	10.8	22.667	20205	277.421
MamRTE1	38	496	534	78.31	12.501	908	1239.346
LTR12B_Cpo	459	71	530	43.21	10.063	43	102.535
HAL1-2C_Cpo	508	19	527	202.53	9.402	998	962.721
L1MB2	104	420	525	10.8	19.222	166	626.976
rnd-6_family-2817	495	27	522	113.42	21.505	235	300.651
CAVID2	427	92	519	537.38	17.956	9234	83.31
LTR12C_Cpo	31	488	519	37.81	8.593	243	194.21
LTR12C_Cpo	488	31	519	10.8	15.868	399	155.188
ERV1NA-CPo_I-int	4	512	516	10.8	15.346	501	417.906
LTR6B_Cpo	102	408	510	135.02	15.068	1967	310.561
CAVID2D	409	99	508	307.85	14.752	164	48.323
PB1D11	457	51	508	5.4	23.406	2773	79.378
MamSINE1	293	214	507	2.7	23.26	615	344.441
L1-1B_Cpo	283	211	494	59.41	14.735	1541	942.027
OldhAT1	26	465	491	2.7	12.498	260	561.8
ERV2-5_CPo-I	68	412	481	21.6	19.472	971	476.145
L1MEf	139	338	477	59.41	13.801	1395	190.913
ERV2B-CPo_I-int	1	471	472	399.66	7.729	7	176.143
ERV2-3C1a_CPo-LTR	206	252	458	429.37	7.774	260	400.412
MER31A	311	147	458	51.31	15.816	1799	622.996
ERV2B-CPo_I-int	157	292	449	8.1	19.539	148	1154.547
L1-3_Cpo	168	280	448	0	25.509	809	552.235
ERV2-3_CPo-I	62	383	445	1250.3	18.1	2	421
MLT1J	1	438	439	0	25.156	831	111.806
L1MB3	145	273	419	2.7	18.918	464	1464.677
rnd-6_family-4059	76	343	419	0	27.397	333	468.91
HAL1-2B_Cpo	158	253	411	78.31	11.319	2265	2143.735
HAL1-2A_Cpo	107	301	408	40.51	6.662	411	1619.715
MER52-int	0	404	404	40.51	19.298	384	223.562
HAL1-2C_Cpo	136	264	400	29.7	15.709	2810	1121.488
ERV2-3c_CPo-LTR	125	271	396	1261.1	3.31	518	393.44
L1-1G_Cpo	341	56	396	16.2	21.347	574	168.575
CAVID2B	317	77	394	108.02	19.363	1771	246.525
LTR8C_CPo	13	380	393	8.1	22.36	992	298.806
ERV1NA-CPo_I-int	84	308	392	118.82	13.653	2598	343.03
ERV2-4b_CPo-LTR	28	358	386	16.2	1.384	58	323.259
LTR12_Cpo	383	4	386	310.55	6.03	282	92.553
rnd-6_family-1475	364	18	382	0	27.784	783	302.559
MLT1C2	264	115	379	0	25.391	336	557.571
rnd-1_family-396	4	371	375	10.8	11.77	317	282.975
ERV1NA-CPo_I-int	93	275	368	32.41	19.421	763	575.868
L2a	223	144	367	16.2	23.626	1073	761.412
L1-3A_Cpo	3	360	364	0	22.665	1888	363.503
LTR69	288	75	363	67.51	25.753	224	794.125
L1MB4	2	356	358	18.9	15.555	601	379.241
rnd-6_family-2157	0	348	348	0	23.323	345	315.177
ERV2-3_CPo-LTR	290	57	347	3324.22	5.893	14	213.071
LTR8_Cpo	284	60	344	1517.64	12.729	1747	1115.211
HAL1-1B_Cpo	172	171	343	213.33	9.274	1430	2200.636
MER52-int	0	343	343	29.7	12.652	650	348.52
MamGypLTR1b	311	29	340	37.81	19.448	2284	646.197
rnd-6_family-3731	320	17	337	0	22.2	302	281.232
rnd-5_family-251	111	222	334	0	22.595	742	322.278
L1MB8	254	77	331	5.4	25.238	13666	234.194
LTR50	142	187	329	2.7	21.71	8305	177.873
AmnL2-1	324	0	324	13.5	17.336	351	401.094
MIRb	115	209	323	588.69	19.931	52687	169.17
ERV2-4_CPo-I	297	24	321	135.02	27.14	30	226.5
ERV2A-CPo_I-int	294	24	318	8.1	24.942	84	183.44
LTR8_Cpo	243	74	316	307.85	12.376	1729	450.033
MER52-int	0	315	316	32.41	23.691	221	386.733
Charlie31a	313	1	314	180.93	18.768	7182	75.524
L1M5	39	275	314	186.33	14.808	1216	1604.868
ID-B1_Cpo	1	313	314	126.92	18.711	1794	68.014
ERV2A-CPo_I-int	129	184	313	8.1	14.385	539	528.371
rnd-6_family-747	42	270	313	0	27.018	724	386.49
L1M4	30	283	312	0	25.419	1674	271.001
ERV1A-CPo_I-int	11	297	308	183.63	14.123	134	614.769
rnd-1_family-363	0	307	307	121.52	13.3	4	66.5
CAVID1B	195	108	303	3081.19	11.563	3145	84.454
ERV2A-CPo_I-int	12	291	303	67.51	17.505	485	214.594
ERV1NA-CPo_I-int	168	129	297	62.11	20.391	292	265.449
MER103C	9	287	296	13.5	23.846	988	90.219
MER67C	94	202	296	18.9	20.382	112	1152.991
LTR8_Cpo	239	50	290	113.42	14.785	2113	535.897
L1M2	0	290	290	56.71	15.643	60	226.7
ERV2-5_CPo-I	233	52	285	29.7	6.673	249	1221.349
LTR8_Cpo	57	226	283	37.81	20.527	5054	81.575
ERV2-3_CPo-I	144	138	282	2.7	30.5	2	157
LTR6I_Cpo	41	240	281	108.02	6.92	446	713.664
STRIDE_Cpo	232	47	279	2187.34	21.296	37869	118.904
LTR8C_CPo	119	159	278	24.3	14.99	1809	94.468
L1MA8	20	257	277	0	27.921	2889	240.763
HAL1-1B_Cpo	203	74	276	13.5	16.3	16	98.25
LTR6I_Cpo	131	144	275	615.7	4.58	274	849.774
L1-1_Cpo	126	143	269	0	22.69	248	835.137
L1MB3	25	236	261	8.1	13.136	727	663.42
L1-2_Cpo	71	184	255	278.14	10.737	967	2033.623
ID-B1_Cpo	195	56	251	3783.3	20.33	56983	131.101
ERV2A-CPo_I-int	0	251	251	37.81	26.75	20	194.6
L1-2_Cpo	51	200	251	456.37	19.323	16095	139.924
MamRTE1	234	15	249	5.4	19.752	774	630.065
L1-2B_Cpo	27	221	248	8.1	16.774	2927	125.792
L1-1_Cpo	32	216	248	0	14.002	126	630.73
MER2	247	0	247	0	24.528	1980	176.1
CAVID	208	36	245	1253	14.952	318	60.701
HAL1-3A_Cpo	178	62	241	164.73	11.881	3932	1805.204
HAL1-3C_Cpo	194	44	238	99.92	7.507	2300	2251.103
HAL1-2B_Cpo	57	180	237	13.5	21.382	908	555.787
LTR6E_Cpo	3	231	234	67.51	19.799	215	73.326
LTR12C_Cpo	123	109	232	24.3	16.182	1356	249.229
ERVL-E-int	226	6	232	44424.7	13.301	544	242.14
LTR6E_Cpo	159	68	228	32.41	18.079	391	126.742
L1MC1	60	168	228	0	19.663	344	350.233
CAVID2C	76	150	226	3413.34	14.123	7325	75.358
rnd-6_family-4728	186	37	223	2.7	21.733	444	190.673
LTR2C_Cpo	38	184	222	164.73	18.755	1052	440.75
ID-B1_Cpo	114	108	221	2.7	23.101	1042	549.349
L1-3_Cpo	186	32	219	18.9	22.626	2510	409.647
ERVL-E-int	66	152	218	2.7	21.62	601	764.576
ERV2-3C1a_CPo-LTR	64	154	217	896.54	11.528	32	277.281
MTE-int	97	120	217	0	19.297	63	880.714
LTR12C_Cpo	2	214	216	394.26	10.399	2014	432.417
STRIDE_Cpo	113	103	216	2341.27	18.641	12390	60.327
MTE-int	164	52	216	0	27.752	4832	559.48
rnd-6_family-918	16	194	210	0	10.698	179	794.486
L1MA6	167	41	208	1104.47	21.877	27256	96.211
LTR8_Cpo	163	41	204	159.33	15.622	672	258.18
L1MD1	131	71	201	0	25.736	4659	208.471
ID-B1_Cpo	111	90	201	286.25	23.711	5943	56.168
MER63A	138	61	198	27	18.848	820	350.48
rnd-6_family-405	194	3	197	0	25.957	921	218.001
MER31-int	105	92	197	0	20.364	376	390.021
LTR11_Cpo	108	87	196	140.42	12.225	875	392.131
LTR11_Cpo	177	19	196	10.8	15.966	1154	348.301
ERV2-3c1_CPo-LTR	52	142	194	896.54	4.985	983	403.909
ERV2-3_CPo-I	96	94	190	2.7	22.951	795	634.491
rnd-6_family-1732	1	188	189	0	26.476	2781	225.183
CAVID2D	66	120	186	10.8	21.039	1330	134.364
STRIDE_Cpo	178	7	186	402.36	23.479	15197	93.954
rnd-6_family-3347	86	99	185	0	22.086	888	214.134
rnd-6_family-6926	142	43	185	5.4	19.991	283	238.297
STRIDE_Cpo	175	9	184	2484.39	14.745	122	56.32
LTR6D_Cpo	133	49	182	37.81	16.373	48	69.812
LTR6F_Cpo	49	133	182	27	16.975	96	83.479
CAVID2C2	102	79	181	2824.65	14.571	4181	73.896
ID-B1_Cpo	163	18	181	672.41	16.133	305	493.321
L1-3_Cpo	136	44	180	210.63	16.951	4791	146.021
Charlie10	39	136	175	8.1	22.719	2411	524.286
rnd-6_family-2973	174	1	175	0	27.957	598	181.003
LTR8_Cpo	133	38	171	78.31	13.99	163	276.006
OldhAT1	164	6	170	21176.74	24.267	129	139.256
L1-3_Cpo	153	14	167	0	23.069	51	122.784
L1MB4	113	52	165	32.41	16.752	822	201.404
MamRTE1	68	97	165	2.7	6.769	311	751.01
L2a	41	122	164	29.7	18.216	1814	1821.222
L1-3_Cpo	114	49	163	132.32	14.488	1842	83.964
L1-1_Cpo	1	161	162	0	21.5	1	64
ERV2B-CPo_I-int	108	54	162	5.4	22.776	514	612.739
rnd-1_family-423	0	160	160	16.2	13.591	79	62.025
rnd-6_family-461	28	129	157	0	25.49	477	357.6
rnd-6_family-9067	144	12	156	0	26.233	192	502.932
MER65D	2	151	154	0	24.228	881	245.625
rnd-6_family-208	152	0	152	0	26.085	1165	198.442
MER52-int	26	122	148	8.1	23.448	263	754.293
rnd-6_family-847	4	145	148	0	28.047	323	404.588
LTR8C_CPo	64	80	145	2.7	24.791	552	226.024
rnd-6_family-3355	3	141	144	0	20.252	853	259.641
LTR8_Cpo	126	16	142	383.46	11.273	1854	281.934
